Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
746850,1,0.71,-1.49,61
747050,1,0.57,-0.99,44
747250,1,0.49,-0.66,86
747450,1,0.46,-0.43,44
747650,1,0.45,-0.27,90
747850,1,0.47,-0.16,61
748050,1,0.46,-0.11,87
748250,1,0.48,-0.02,40
748450,1,0.55,0.01,88
748650,1,0.62,0.11,92
748850,1,0.7,0.04,51
749050,1,0.77,0.02,67
749250,1,0.84,0.24,44
749450,1,0.81,0.17,53
749650,1,0.8,0.05,43
749850,1,0.8,0.04,44
750050,1,0.8,-0.72,40
750250,1,0.69,-1.69,40
750450,1,0.41,-2.0,40
750650,1,0.26,-2.44,40
750850,1,1.06,0.1,88
751050,1,1.87,-3.84,40
751250,1,1.42,-3.82,68
751450,1,0.97,-3.77,100
751650,1,1.41,0.11,58
751850,1,1.85,-3.83,40
752050,1,1.49,-3.79,40
752250,1,0.93,-3.77,40
752450,1,0.47,-3.69,40
752650,1,0.27,-3.56,52
752850,1,1.12,0.09,74
753050,1,1.97,-3.83,40
753250,1,1.45,-3.82,45
753450,1,1.13,-3.74,40
753650,1,0.74,-3.68,40
753850,1,0.43,-3.59,40
754050,1,1.32,0.02,50
754250,1,2.21,-3.83,40
